J-Date,Date,Weekday,Symbol,Open
1389-03-19,6/9/2010,Wednesday,سکه امامی,3100000
1389-03-21,6/11/2010,Friday,سکه امامی,3110000
1389-03-22,6/12/2010,Saturday,سکه امامی,3085000
1389-03-23,6/13/2010,Sunday,سکه امامی,3075000
1389-03-24,6/14/2010,Monday,سکه امامی,3080000
1389-03-25,6/15/2010,Tuesday,سکه امامی,3040000
1389-03-26,6/16/2010,Wednesday,سکه امامی,3060000
1389-03-28,6/18/2010,Friday,سکه امامی,3060000
1389-03-29,6/19/2010,Saturday,سکه امامی,3100000
1389-03-31,6/21/2010,Monday,سکه امامی,3120000
1389-04-01,6/22/2010,Tuesday,سکه امامی,3080000
1389-04-02,6/23/2010,Wednesday,سکه امامی,3080000
1389-04-05,6/26/2010,Saturday,سکه امامی,3085000
1389-04-06,6/27/2010,Sunday,سکه امامی,3120000
1389-04-07,6/28/2010,Monday,سکه امامی,3120000
1389-04-08,6/29/2010,Tuesday,سکه امامی,3100000
1389-04-09,6/30/2010,Wednesday,سکه امامی,3120000
1389-04-11,7/2/2010,Friday,سکه امامی,3030000
1389-04-13,7/4/2010,Sunday,سکه امامی,3030000
1389-04-15,7/6/2010,Tuesday,سکه امامی,3020000
1389-04-16,7/7/2010,Wednesday,سکه امامی,3000000
1389-04-19,7/10/2010,Saturday,سکه امامی,3010000
1389-04-20,7/11/2010,Sunday,سکه امامی,3020000
1389-04-21,7/12/2010,Monday,سکه امامی,3010000
1389-04-23,7/14/2010,Wednesday,سکه امامی,3020000
1389-04-25,7/16/2010,Friday,سکه امامی,3020000
1389-04-26,7/17/2010,Saturday,سکه امامی,2980000
1389-04-27,7/18/2010,Sunday,سکه امامی,2960000
1389-04-28,7/19/2010,Monday,سکه امامی,2960000
1389-04-29,7/20/2010,Tuesday,سکه امامی,2940000
1389-04-30,7/21/2010,Wednesday,سکه امامی,2950000
1389-05-01,7/23/2010,Friday,سکه امامی,2950000
1389-05-02,7/24/2010,Saturday,سکه امامی,2960000
1389-05-03,7/25/2010,Sunday,سکه امامی,2960000
1389-05-05,7/27/2010,Tuesday,سکه امامی,2975000
1389-05-06,7/28/2010,Wednesday,سکه امامی,2925000
1389-05-08,7/30/2010,Friday,سکه امامی,2920000
1389-05-09,7/31/2010,Saturday,سکه امامی,2950000
1389-05-10,8/1/2010,Sunday,سکه امامی,2950000
1389-05-11,8/2/2010,Monday,سکه امامی,2950000
1389-05-12,8/3/2010,Tuesday,سکه امامی,2950000
1389-05-15,8/6/2010,Friday,سکه امامی,2975000
1389-05-16,8/7/2010,Saturday,سکه امامی,3000000
1389-05-17,8/8/2010,Sunday,سکه امامی,3000000
1389-05-19,8/10/2010,Tuesday,سکه امامی,3000000
1389-05-20,8/11/2010,Wednesday,سکه امامی,2990000
1389-05-22,8/13/2010,Friday,سکه امامی,3010000
1389-05-23,8/14/2010,Saturday,سکه امامی,3030000
1389-05-24,8/15/2010,Sunday,سکه امامی,3030000
1389-05-25,8/16/2010,Monday,سکه امامی,3030000
1389-05-26,8/17/2010,Tuesday,سکه امامی,3040000
