J-Date,Date,Weekday,Symbol,Close
1392-08-17,11/8/2013,Friday,سکه امامی,9195000
1392-08-18,11/9/2013,Saturday,سکه امامی,9310000
1392-08-19,11/10/2013,Sunday,سکه امامی,9260000
1392-08-20,11/11/2013,Monday,سکه امامی,9240000
1392-08-22,11/13/2013,Wednesday,سکه امامی,9290000
1392-08-24,11/15/2013,Friday,سکه امامی,9280000
1392-08-25,11/16/2013,Saturday,سکه امامی,9240000
1392-08-26,11/17/2013,Sunday,سکه امامی,9160000
1392-08-27,11/18/2013,Monday,سکه امامی,9170000
1392-08-28,11/19/2013,Tuesday,سکه امامی,9110000
1392-08-29,11/20/2013,Wednesday,سکه امامی,8990000
1392-09-01,11/22/2013,Friday,سکه امامی,8850000
1392-09-02,11/23/2013,Saturday,سکه امامی,8280000
1392-09-03,11/24/2013,Sunday,سکه امامی,8430000
1392-09-04,11/25/2013,Monday,سکه امامی,8590000
1392-09-05,11/26/2013,Tuesday,سکه امامی,8680000
1392-09-06,11/27/2013,Wednesday,سکه امامی,8590000
1392-09-08,11/29/2013,Friday,سکه امامی,8710000
1392-09-09,11/30/2013,Saturday,سکه امامی,8800000
1392-09-10,12/1/2013,Sunday,سکه امامی,8670000
1392-09-11,12/2/2013,Monday,سکه امامی,8580000
1392-09-12,12/3/2013,Tuesday,سکه امامی,8640000
1392-09-13,12/4/2013,Wednesday,سکه امامی,8550000
1392-09-15,12/6/2013,Friday,سکه امامی,8635000
1392-09-16,12/7/2013,Saturday,سکه امامی,8650000
1392-09-17,12/8/2013,Sunday,سکه امامی,8660000
1392-09-18,12/9/2013,Monday,سکه امامی,8800000
1392-09-19,12/10/2013,Tuesday,سکه امامی,8800000
1392-09-20,12/11/2013,Wednesday,سکه امامی,8640000
1392-09-22,12/13/2013,Friday,سکه امامی,8800000
1392-09-23,12/14/2013,Saturday,سکه امامی,8760000
1392-09-24,12/15/2013,Sunday,سکه امامی,8740000
1392-09-25,12/16/2013,Monday,سکه امامی,8705000
1392-09-26,12/17/2013,Tuesday,سکه امامی,8740000
1392-09-27,12/18/2013,Wednesday,سکه امامی,8580000
1392-09-29,12/20/2013,Friday,سکه امامی,8510000
1392-09-30,12/21/2013,Saturday,سکه امامی,8575000
1392-10-01,12/22/2013,Sunday,سکه امامی,8555000
1392-10-02,12/23/2013,Monday,سکه امامی,8577000
1392-10-03,12/24/2013,Tuesday,سکه امامی,8575000
1392-10-04,12/25/2013,Wednesday,سکه امامی,8660000
1392-10-06,12/27/2013,Friday,سکه امامی,8725000
1392-10-07,12/28/2013,Saturday,سکه امامی,8825000
1392-10-08,12/29/2013,Sunday,سکه امامی,8725000
1392-10-09,12/30/2013,Monday,سکه امامی,8685000
1392-10-10,12/31/2013,Tuesday,سکه امامی,8660000
1392-10-11,1/1/2014,Wednesday,سکه امامی,8720000
1392-10-13,1/3/2014,Friday,سکه امامی,8750000
1392-10-14,1/4/2014,Saturday,سکه امامی,8760000
1392-10-15,1/5/2014,Sunday,سکه امامی,8790000
1392-10-16,1/6/2014,Monday,سکه امامی,8770000
1392-10-17,1/7/2014,Tuesday,سکه امامی,8750000
1392-10-18,1/8/2014,Wednesday,سکه امامی,8740000
1392-10-20,1/10/2014,Friday,سکه امامی,8812000
1392-10-21,1/11/2014,Saturday,سکه امامی,8770000
1392-10-22,1/12/2014,Sunday,سکه امامی,8730000
1392-10-23,1/13/2014,Monday,سکه امامی,8710000
1392-10-24,1/14/2014,Tuesday,سکه امامی,8710000
1392-10-25,1/15/2014,Wednesday,سکه امامی,8680000
1392-10-27,1/17/2014,Friday,سکه امامی,8620000
1392-10-28,1/18/2014,Saturday,سکه امامی,8560000
1392-10-29,1/19/2014,Sunday,سکه امامی,8500000
1392-10-30,1/20/2014,Monday,سکه امامی,8590000
1392-11-01,1/21/2014,Tuesday,سکه امامی,8640000
1392-11-02,1/22/2014,Wednesday,سکه امامی,8680000
1392-11-04,1/24/2014,Friday,سکه امامی,8785000
1392-11-05,1/25/2014,Saturday,سکه امامی,8763000
1392-11-06,1/26/2014,Sunday,سکه امامی,8746000
1392-11-07,1/27/2014,Monday,سکه امامی,8745000
1392-11-08,1/28/2014,Tuesday,سکه امامی,8755000
1392-11-09,1/29/2014,Wednesday,سکه امامی,8685000
1392-11-10,1/30/2014,Thursday,سکه امامی,8682000
1392-11-11,1/31/2014,Friday,سکه امامی,8703000
1392-11-12,2/1/2014,Saturday,سکه امامی,8735000
1392-11-13,2/2/2014,Sunday,سکه امامی,8762000
1392-11-14,2/3/2014,Monday,سکه امامی,8753000
1392-11-15,2/4/2014,Tuesday,سکه امامی,8771000
1392-11-16,2/5/2014,Wednesday,سکه امامی,8790000
1392-11-17,2/6/2014,Thursday,سکه امامی,8827000
1392-11-18,2/7/2014,Friday,سکه امامی,8830000
1392-11-19,2/8/2014,Saturday,سکه امامی,8806000
1392-11-20,2/9/2014,Sunday,سکه امامی,8882000
1392-11-21,2/10/2014,Monday,سکه امامی,8968000
1392-11-22,2/11/2014,Tuesday,سکه امامی,9122000
1392-11-23,2/12/2014,Wednesday,سکه امامی,9145000
1392-11-24,2/13/2014,Thursday,سکه امامی,9273000
1392-11-25,2/14/2014,Friday,سکه امامی,9315000
1392-11-26,2/15/2014,Saturday,سکه امامی,9315000
1392-11-27,2/16/2014,Sunday,سکه امامی,9490000
1392-11-28,2/17/2014,Monday,سکه امامی,9362000
1392-11-29,2/18/2014,Tuesday,سکه امامی,9340000
1392-11-30,2/19/2014,Wednesday,سکه امامی,9385000
1392-12-01,2/20/2014,Thursday,سکه امامی,9420000
1392-12-02,2/21/2014,Friday,سکه امامی,9408000
1392-12-03,2/22/2014,Saturday,سکه امامی,9438000
1392-12-04,2/23/2014,Sunday,سکه امامی,9680000
1392-12-05,2/24/2014,Monday,سکه امامی,9770000
1392-12-06,2/25/2014,Tuesday,سکه امامی,9645000
1392-12-07,2/26/2014,Wednesday,سکه امامی,9650000
1392-12-08,2/27/2014,Thursday,سکه امامی,9652000
1392-12-09,2/28/2014,Friday,سکه امامی,9745000
1392-12-10,3/1/2014,Saturday,سکه امامی,9776000
1392-12-11,3/2/2014,Sunday,سکه امامی,9970000
1392-12-12,3/3/2014,Monday,سکه امامی,9780000
1392-12-13,3/4/2014,Tuesday,سکه امامی,9800000
1392-12-14,3/5/2014,Wednesday,سکه امامی,9820000
1392-12-15,3/6/2014,Thursday,سکه امامی,9762000
1392-12-16,3/7/2014,Friday,سکه امامی,9550000
1392-12-17,3/8/2014,Saturday,سکه امامی,9710000
1392-12-18,3/9/2014,Sunday,سکه امامی,9770000
1392-12-19,3/10/2014,Monday,سکه امامی,9787000
1392-12-20,3/11/2014,Tuesday,سکه امامی,9775000
1392-12-21,3/12/2014,Wednesday,سکه امامی,9805000
1392-12-22,3/13/2014,Thursday,سکه امامی,9850000
1392-12-23,3/14/2014,Friday,سکه امامی,9775000
1392-12-24,3/15/2014,Saturday,سکه امامی,9820000
1392-12-25,3/16/2014,Sunday,سکه امامی,9660000
1392-12-26,3/17/2014,Monday,سکه امامی,9535000
1392-12-27,3/18/2014,Tuesday,سکه امامی,9500000
1392-12-28,3/19/2014,Wednesday,سکه امامی,9530000
1392-12-29,3/20/2014,Thursday,سکه امامی,9550000
1393-01-03,3/23/2014,Sunday,سکه امامی,9480000
1393-01-04,3/24/2014,Monday,سکه امامی,9520000
1393-01-05,3/25/2014,Tuesday,سکه امامی,9510000
1393-01-06,3/26/2014,Wednesday,سکه امامی,9520000
1393-01-07,3/27/2014,Thursday,سکه امامی,9500000
1393-01-08,3/28/2014,Friday,سکه امامی,9450000
1393-01-09,3/29/2014,Saturday,سکه امامی,9440000
1393-01-10,3/30/2014,Sunday,سکه امامی,9430000
1393-01-11,3/31/2014,Monday,سکه امامی,9410000
1393-01-14,4/3/2014,Thursday,سکه امامی,9445000
1393-01-15,4/4/2014,Friday,سکه امامی,9462000
1393-01-16,4/5/2014,Saturday,سکه امامی,9440000
1393-01-17,4/6/2014,Sunday,سکه امامی,9460000
1393-01-18,4/7/2014,Monday,سکه امامی,9658000
1393-01-19,4/8/2014,Tuesday,سکه امامی,9640000
1393-01-20,4/9/2014,Wednesday,سکه امامی,9683000
1393-01-21,4/10/2014,Thursday,سکه امامی,9675000
1393-01-22,4/11/2014,Friday,سکه امامی,9750000
1393-01-23,4/12/2014,Saturday,سکه امامی,9780000
1393-01-24,4/13/2014,Sunday,سکه امامی,9880000
1393-01-25,4/14/2014,Monday,سکه امامی,9835000
1393-01-26,4/15/2014,Tuesday,سکه امامی,9760000
1393-01-27,4/16/2014,Wednesday,سکه امامی,9765000
1393-01-28,4/17/2014,Thursday,سکه امامی,9765000
1393-01-29,4/18/2014,Friday,سکه امامی,9790000
1393-01-30,4/19/2014,Saturday,سکه امامی,9800000
1393-01-31,4/20/2014,Sunday,سکه امامی,9855000
1393-02-01,4/21/2014,Monday,سکه امامی,10000000
1393-02-02,4/22/2014,Tuesday,سکه امامی,9910000
1393-02-03,4/23/2014,Wednesday,سکه امامی,9950000
1393-02-04,4/24/2014,Thursday,سکه امامی,9960000
1393-02-05,4/25/2014,Friday,سکه امامی,10140000
1393-02-06,4/26/2014,Saturday,سکه امامی,10455000
1393-02-07,4/27/2014,Sunday,سکه امامی,10185000
1393-02-08,4/28/2014,Monday,سکه امامی,10160000
1393-02-09,4/29/2014,Tuesday,سکه امامی,10110000
1393-02-10,4/30/2014,Wednesday,سکه امامی,10120000
1393-02-11,5/1/2014,Thursday,سکه امامی,10130000
1393-02-12,5/2/2014,Friday,سکه امامی,10220000
1393-02-13,5/3/2014,Saturday,سکه امامی,10130000
1393-02-14,5/4/2014,Sunday,سکه امامی,10190000
1393-02-15,5/5/2014,Monday,سکه امامی,10110000
1393-02-16,5/6/2014,Tuesday,سکه امامی,10040000
1393-02-17,5/7/2014,Wednesday,سکه امامی,9910000
1393-02-18,5/8/2014,Thursday,سکه امامی,9910000
1393-02-19,5/9/2014,Friday,سکه امامی,9800000
1393-02-20,5/10/2014,Saturday,سکه امامی,9690000
1393-02-21,5/11/2014,Sunday,سکه امامی,9810000
1393-02-22,5/12/2014,Monday,سکه امامی,9810000
1393-02-23,5/13/2014,Tuesday,سکه امامی,9900000
1393-02-24,5/14/2014,Wednesday,سکه امامی,9860000
1393-02-25,5/15/2014,Thursday,سکه امامی,9860000
1393-02-26,5/16/2014,Friday,سکه امامی,9920000
1393-02-27,5/17/2014,Saturday,سکه امامی,9845000
1393-02-28,5/18/2014,Sunday,سکه امامی,9930000
1393-02-29,5/19/2014,Monday,سکه امامی,9885000
1393-02-29,5/19/2014,Monday,سکه امامی,9885000
1393-02-30,5/20/2014,Tuesday,سکه امامی,9880000
1393-02-30,5/20/2014,Tuesday,سکه امامی,9880000
1393-02-31,5/21/2014,Wednesday,سکه امامی,9900000
1393-02-31,5/21/2014,Wednesday,سکه امامی,9900000
1393-03-02,5/23/2014,Friday,سکه امامی,9875000
1393-03-02,5/23/2014,Friday,سکه امامی,9875000
1393-03-03,5/24/2014,Saturday,سکه امامی,9875000
1393-03-03,5/24/2014,Saturday,سکه امامی,9875000
1393-03-04,5/25/2014,Sunday,سکه امامی,9870000
1393-03-04,5/25/2014,Sunday,سکه امامی,9870000
1393-03-05,5/26/2014,Monday,سکه امامی,9760000
1393-03-05,5/26/2014,Monday,سکه امامی,9760000
1393-03-06,5/27/2014,Tuesday,سکه امامی,9680000
1393-03-06,5/27/2014,Tuesday,سکه امامی,9680000
1393-03-07,5/28/2014,Wednesday,سکه امامی,9620000
1393-03-07,5/28/2014,Wednesday,سکه امامی,9620000
1393-03-09,5/30/2014,Friday,سکه امامی,9580000
1393-03-09,5/30/2014,Friday,سکه امامی,9580000
1393-03-10,5/31/2014,Saturday,سکه امامی,9580000
1393-03-10,5/31/2014,Saturday,سکه امامی,9580000
1393-03-11,6/1/2014,Sunday,سکه امامی,9570000
1393-03-11,6/1/2014,Sunday,سکه امامی,9570000
1393-03-12,6/2/2014,Monday,سکه امامی,9570000
1393-03-12,6/2/2014,Monday,سکه امامی,9570000
1393-03-16,6/6/2014,Friday,سکه امامی,9515000
1393-03-16,6/6/2014,Friday,سکه امامی,9515000
1393-03-17,6/7/2014,Saturday,سکه امامی,9470000
1393-03-17,6/7/2014,Saturday,سکه امامی,9470000
1393-03-18,6/8/2014,Sunday,سکه امامی,9445000
1393-03-18,6/8/2014,Sunday,سکه امامی,9445000
1393-03-19,6/9/2014,Monday,سکه امامی,9410000
1393-03-20,6/10/2014,Tuesday,سکه امامی,9518000
1393-03-21,6/11/2014,Wednesday,سکه امامی,9600000
1393-03-23,6/13/2014,Friday,سکه امامی,9594000
1393-03-24,6/14/2014,Saturday,سکه امامی,9610000
1393-03-25,6/15/2014,Sunday,سکه امامی,9512000
1393-03-26,6/16/2014,Monday,سکه امامی,9480000
1393-03-27,6/17/2014,Tuesday,سکه امامی,9490000
1393-03-28,6/18/2014,Wednesday,سکه امامی,9530000
1393-03-30,6/20/2014,Friday,سکه امامی,9790000
1393-03-31,6/21/2014,Saturday,سکه امامی,9730000
1393-04-01,6/22/2014,Sunday,سکه امامی,9673000
1393-04-02,6/23/2014,Monday,سکه امامی,9692000
1393-04-03,6/24/2014,Tuesday,سکه امامی,9673000
1393-04-04,6/25/2014,Wednesday,سکه امامی,9655000
1393-04-13,7/4/2014,Friday,سکه امامی,9575000
1393-04-14,7/5/2014,Saturday,سکه امامی,9523000
1393-04-15,7/6/2014,Sunday,سکه امامی,9495000
1393-04-16,7/7/2014,Monday,سکه امامی,9570000
1393-04-17,7/8/2014,Tuesday,سکه امامی,9564000
1393-04-18,7/9/2014,Wednesday,سکه امامی,9645000
1393-04-20,7/11/2014,Friday,سکه امامی,9647000
1393-04-21,7/12/2014,Saturday,سکه امامی,9680000
1393-04-22,7/13/2014,Sunday,سکه امامی,9590000
1393-04-23,7/14/2014,Monday,سکه امامی,9522000
1393-04-24,7/15/2014,Tuesday,سکه امامی,9515000
1393-04-25,7/16/2014,Wednesday,سکه امامی,9540000
1393-04-28,7/19/2014,Saturday,سکه امامی,9525000
1393-04-29,7/20/2014,Sunday,سکه امامی,9550000
1393-04-30,7/21/2014,Monday,سکه امامی,9505000
1393-04-31,7/22/2014,Tuesday,سکه امامی,9525000
1393-05-01,7/23/2014,Wednesday,سکه امامی,9510000
1393-05-03,7/25/2014,Friday,سکه امامی,9535000
1393-05-04,7/26/2014,Saturday,سکه امامی,9530000
1393-05-05,7/27/2014,Sunday,سکه امامی,9502000
1393-05-07,7/29/2014,Tuesday,سکه امامی,9502000
1393-05-08,7/30/2014,Wednesday,سکه امامی,9505000
1393-05-10,8/1/2014,Friday,سکه امامی,9477000
1393-05-11,8/2/2014,Saturday,سکه امامی,9518000
1393-05-12,8/3/2014,Sunday,سکه امامی,9515000
1393-05-13,8/4/2014,Monday,سکه امامی,9480000
1393-05-14,8/5/2014,Tuesday,سکه امامی,9522000
1393-05-15,8/6/2014,Wednesday,سکه امامی,9518000
1393-05-16,8/7/2014,Thursday,سکه امامی,9518000
1393-05-18,8/9/2014,Saturday,سکه امامی,9546000
1393-05-19,8/10/2014,Sunday,سکه امامی,9540000
1393-05-20,8/11/2014,Monday,سکه امامی,9545000
1393-05-21,8/12/2014,Tuesday,سکه امامی,9539000
1393-05-22,8/13/2014,Wednesday,سکه امامی,9547000
1393-05-22,8/13/2014,Wednesday,سکه امامی,9545000
1393-05-24,8/15/2014,Friday,سکه امامی,9490000
1393-05-25,8/16/2014,Saturday,سکه امامی,9472000
1393-05-26,8/17/2014,Sunday,سکه امامی,9447000
1393-05-27,8/18/2014,Monday,سکه امامی,9460000
1393-05-28,8/19/2014,Tuesday,سکه امامی,9425000
1393-05-29,8/20/2014,Wednesday,سکه امامی,9355000
1393-05-31,8/22/2014,Friday,سکه امامی,9370000
1393-06-01,8/23/2014,Saturday,سکه امامی,9415000
1393-06-02,8/24/2014,Sunday,سکه امامی,9420000
1393-06-03,8/25/2014,Monday,سکه امامی,9440000
1393-06-04,8/26/2014,Tuesday,سکه امامی,9435000
1393-06-05,8/27/2014,Wednesday,سکه امامی,9485000
1393-06-07,8/29/2014,Friday,سکه امامی,9505000
1393-06-08,8/30/2014,Saturday,سکه امامی,9490000
1393-06-09,8/31/2014,Sunday,سکه امامی,9495000
1393-06-10,9/1/2014,Monday,سکه امامی,9460000
1393-06-11,9/2/2014,Tuesday,سکه امامی,9465000
1393-06-12,9/3/2014,Wednesday,سکه امامی,9470000
1393-06-14,9/5/2014,Friday,سکه امامی,9425000
1393-06-15,9/6/2014,Saturday,سکه امامی,9441000
1393-06-16,9/7/2014,Sunday,سکه امامی,9438000
1393-06-17,9/8/2014,Monday,سکه امامی,9412000
1393-06-18,9/9/2014,Tuesday,سکه امامی,9403000
1393-06-19,9/10/2014,Wednesday,سکه امامی,9390000
1393-06-19,9/10/2014,Wednesday,سکه امامی,9390000
1393-06-20,9/11/2014,Thursday,سکه امامی,9390000
1393-06-20,9/11/2014,Thursday,سکه امامی,9390000
1393-06-21,9/12/2014,Friday,سکه امامی,9245000
1393-06-22,9/13/2014,Saturday,سکه امامی,9255000
1393-06-23,9/14/2014,Sunday,سکه امامی,9310000
1393-06-24,9/15/2014,Monday,سکه امامی,9320000
1393-06-26,9/17/2014,Wednesday,سکه امامی,9280000
1393-06-27,9/18/2014,Thursday,سکه امامی,9280000
1393-06-28,9/19/2014,Friday,سکه امامی,9180000
1393-06-29,9/20/2014,Saturday,سکه امامی,9175000
1393-06-30,9/21/2014,Sunday,سکه امامی,9175000
1393-06-31,9/22/2014,Monday,سکه امامی,9270000
1393-07-01,9/23/2014,Tuesday,سکه امامی,9270000
1393-07-02,9/24/2014,Wednesday,سکه امامی,9220000
1393-07-03,9/25/2014,Thursday,سکه امامی,9220000
1393-07-04,9/26/2014,Friday,سکه امامی,9360000
1393-07-05,9/27/2014,Saturday,سکه امامی,9390000
1393-07-06,9/28/2014,Sunday,سکه امامی,9385000
1393-07-07,9/29/2014,Monday,سکه امامی,9345000
1393-07-08,9/30/2014,Tuesday,سکه امامی,9345000
1393-07-09,10/1/2014,Wednesday,سکه امامی,9345000
1393-07-10,10/2/2014,Thursday,سکه امامی,9345000
1393-07-11,10/3/2014,Friday,سکه امامی,9295000
1393-07-12,10/4/2014,Saturday,سکه امامی,9295000
1393-07-13,10/5/2014,Sunday,سکه امامی,9285000
1393-07-14,10/6/2014,Monday,سکه امامی,9365000
1393-07-15,10/7/2014,Tuesday,سکه امامی,9395000
1393-07-16,10/8/2014,Wednesday,سکه امامی,9460000
1393-07-17,10/9/2014,Thursday,سکه امامی,9460000
1393-07-18,10/10/2014,Friday,سکه امامی,9395000
1393-07-19,10/11/2014,Saturday,سکه امامی,9395000
1393-07-20,10/12/2014,Sunday,سکه امامی,9395000
1393-07-21,10/13/2014,Monday,سکه امامی,9405000
1393-07-22,10/14/2014,Tuesday,سکه امامی,9405000
1393-07-23,10/15/2014,Wednesday,سکه امامی,9415000
1393-07-24,10/16/2014,Thursday,سکه امامی,9415000
1393-07-25,10/17/2014,Friday,سکه امامی,9380000
1393-07-26,10/18/2014,Saturday,سکه امامی,9390000
1393-07-27,10/19/2014,Sunday,سکه امامی,9375000
1393-07-28,10/20/2014,Monday,سکه امامی,9390000
1393-07-29,10/21/2014,Tuesday,سکه امامی,9380000
1393-07-30,10/22/2014,Wednesday,سکه امامی,9360000
1393-08-02,10/24/2014,Friday,سکه امامی,9300000
1393-08-03,10/25/2014,Saturday,سکه امامی,9295000
1393-08-04,10/26/2014,Sunday,سکه امامی,9310000
1393-08-05,10/27/2014,Monday,سکه امامی,9305000
1393-08-06,10/28/2014,Tuesday,سکه امامی,9293000
1393-08-07,10/29/2014,Wednesday,سکه امامی,9244000
1393-08-08,10/30/2014,Thursday,سکه امامی,9244000
1393-08-09,10/31/2014,Friday,سکه امامی,9143000
1393-08-10,11/1/2014,Saturday,سکه امامی,9150000
1393-08-11,11/2/2014,Sunday,سکه امامی,9150000
1393-08-13,11/4/2014,Tuesday,سکه امامی,9025000
1393-08-14,11/5/2014,Wednesday,سکه امامی,9033000
1393-08-15,11/6/2014,Thursday,سکه امامی,9033000
1393-08-16,11/7/2014,Friday,سکه امامی,9080000
1393-08-17,11/8/2014,Saturday,سکه امامی,9075000
1393-08-18,11/9/2014,Sunday,سکه امامی,9030000
1393-08-19,11/10/2014,Monday,سکه امامی,9000000
1393-08-20,11/11/2014,Tuesday,سکه امامی,9060000
1393-08-21,11/12/2014,Wednesday,سکه امامی,9045000
1393-08-22,11/13/2014,Thursday,سکه امامی,9045000
1393-08-23,11/14/2014,Friday,سکه امامی,9150000
1393-08-24,11/15/2014,Saturday,سکه امامی,9140000
1393-08-25,11/16/2014,Sunday,سکه امامی,9140000
1393-08-26,11/17/2014,Monday,سکه امامی,9170000
1393-08-27,11/18/2014,Tuesday,سکه امامی,9170000
1393-08-28,11/19/2014,Wednesday,سکه امامی,9140000
1393-08-30,11/21/2014,Friday,سکه امامی,9150000
1393-09-01,11/22/2014,Saturday,سکه امامی,9150000
1393-09-02,11/23/2014,Sunday,سکه امامی,9220000
1393-09-03,11/24/2014,Monday,سکه امامی,9290000
1393-09-04,11/25/2014,Tuesday,سکه امامی,9380000
1393-09-05,11/26/2014,Wednesday,سکه امامی,9385000
1393-09-07,11/28/2014,Friday,سکه امامی,9450000
1393-09-08,11/29/2014,Saturday,سکه امامی,9550000
1393-09-09,11/30/2014,Sunday,سکه امامی,9510000
1393-09-10,12/1/2014,Monday,سکه امامی,9555000
1393-09-11,12/2/2014,Tuesday,سکه امامی,9560000
1393-09-12,12/3/2014,Wednesday,سکه امامی,9565000
1393-09-14,12/5/2014,Friday,سکه امامی,9490000
1393-09-15,12/6/2014,Saturday,سکه امامی,9570000
1393-09-16,12/7/2014,Sunday,سکه امامی,9630000
1393-09-17,12/8/2014,Monday,سکه امامی,9680000
1393-09-18,12/9/2014,Tuesday,سکه امامی,9810000
1393-09-19,12/10/2014,Wednesday,سکه امامی,9800000
1393-09-20,12/11/2014,Thursday,سکه امامی,9800000
1393-09-21,12/12/2014,Friday,سکه امامی,9800000
1393-09-22,12/13/2014,Saturday,سکه امامی,10010000
1393-09-23,12/14/2014,Sunday,سکه امامی,9960000
1393-09-24,12/15/2014,Monday,سکه امامی,9970000
1393-09-25,12/16/2014,Tuesday,سکه امامی,9905000
1393-09-26,12/17/2014,Wednesday,سکه امامی,9990000
1393-09-28,12/19/2014,Friday,سکه امامی,9935000
1393-09-29,12/20/2014,Saturday,سکه امامی,9935000
1393-09-30,12/21/2014,Sunday,سکه امامی,9960000
1393-10-01,12/22/2014,Monday,سکه امامی,9960000
1393-10-02,12/23/2014,Tuesday,سکه امامی,9895000
1393-10-03,12/24/2014,Wednesday,سکه امامی,9895000
1393-10-04,12/25/2014,Thursday,سکه امامی,9895000
1393-10-05,12/26/2014,Friday,سکه امامی,9945000
1393-10-06,12/27/2014,Saturday,سکه امامی,9955000
1393-10-07,12/28/2014,Sunday,سکه امامی,9900000
1393-10-08,12/29/2014,Monday,سکه امامی,9840000
1393-10-09,12/30/2014,Tuesday,سکه امامی,9830000
1393-10-10,12/31/2014,Wednesday,سکه امامی,9770000
1393-10-12,1/2/2015,Friday,سکه امامی,9790000
1393-10-13,1/3/2015,Saturday,سکه امامی,9815000
1393-10-14,1/4/2015,Sunday,سکه امامی,9805000
1393-10-15,1/5/2015,Monday,سکه امامی,9935000
1393-10-16,1/6/2015,Tuesday,سکه امامی,9935000
1393-10-17,1/7/2015,Wednesday,سکه امامی,9885000
1393-10-19,1/9/2015,Friday,سکه امامی,9960000
1393-10-20,1/10/2015,Saturday,سکه امامی,9925000
1393-10-21,1/11/2015,Sunday,سکه امامی,9880000
1393-10-22,1/12/2015,Monday,سکه امامی,9915000
1393-10-23,1/13/2015,Tuesday,سکه امامی,9935000
1393-10-24,1/14/2015,Wednesday,سکه امامی,9980000
1393-10-26,1/16/2015,Friday,سکه امامی,10195000
1393-10-27,1/17/2015,Saturday,سکه امامی,10260000
1393-10-28,1/18/2015,Sunday,سکه امامی,10360000
1393-10-29,1/19/2015,Monday,سکه امامی,10380000
1393-10-30,1/20/2015,Tuesday,سکه امامی,10445000
1393-11-01,1/21/2015,Wednesday,سکه امامی,10380000
1393-11-03,1/23/2015,Friday,سکه امامی,10390000
1393-11-04,1/24/2015,Saturday,سکه امامی,10420000
1393-11-05,1/25/2015,Sunday,سکه امامی,10390000
1393-11-06,1/26/2015,Monday,سکه امامی,10355000
1393-11-07,1/27/2015,Tuesday,سکه امامی,10390000
1393-11-08,1/28/2015,Wednesday,سکه امامی,10340000
1393-11-10,1/30/2015,Friday,سکه امامی,10330000
1393-11-11,1/31/2015,Saturday,سکه امامی,10320000
1393-11-12,2/1/2015,Sunday,سکه امامی,10240000
1393-11-13,2/2/2015,Monday,سکه امامی,10260000
1393-11-14,2/3/2015,Tuesday,سکه امامی,10140000
1393-11-15,2/4/2015,Wednesday,سکه امامی,10090000
1393-11-17,2/6/2015,Friday,سکه امامی,9830000
1393-11-18,2/7/2015,Saturday,سکه امامی,9840000
1393-11-19,2/8/2015,Sunday,سکه امامی,9910000
1393-11-20,2/9/2015,Monday,سکه امامی,9940000
1393-11-22,2/11/2015,Wednesday,سکه امامی,9910000
1393-11-24,2/13/2015,Friday,سکه امامی,9970000
1393-11-25,2/14/2015,Saturday,سکه امامی,9950000
1393-11-26,2/15/2015,Sunday,سکه امامی,9890000
1393-11-27,2/16/2015,Monday,سکه امامی,9750000
1393-11-28,2/17/2015,Tuesday,سکه امامی,9830000
1393-11-29,2/18/2015,Wednesday,سکه امامی,9920000
1393-12-01,2/20/2015,Friday,سکه امامی,9725000
1393-12-02,2/21/2015,Saturday,سکه امامی,9795000
1393-12-03,2/22/2015,Sunday,سکه امامی,9815000
1393-12-04,2/23/2015,Monday,سکه امامی,9875000
1393-12-05,2/24/2015,Tuesday,سکه امامی,9955000
1393-12-06,2/25/2015,Wednesday,سکه امامی,9940000
1393-12-08,2/27/2015,Friday,سکه امامی,9905000
1393-12-09,2/28/2015,Saturday,سکه امامی,9880000
1393-12-10,3/1/2015,Sunday,سکه امامی,9900000
1393-12-11,3/2/2015,Monday,سکه امامی,9820000
1393-12-12,3/3/2015,Tuesday,سکه امامی,9820000
1393-12-13,3/4/2015,Wednesday,سکه امامی,9795000
1393-12-15,3/6/2015,Friday,سکه امامی,9595000
1393-12-16,3/7/2015,Saturday,سکه امامی,9630000
1393-12-17,3/8/2015,Sunday,سکه امامی,9595000
1393-12-18,3/9/2015,Monday,سکه امامی,9550000
1393-12-19,3/10/2015,Tuesday,سکه امامی,9415000
1393-12-20,3/11/2015,Wednesday,سکه امامی,9420000
1393-12-22,3/13/2015,Friday,سکه امامی,9120000
1393-12-23,3/14/2015,Saturday,سکه امامی,9120000
1393-12-24,3/15/2015,Sunday,سکه امامی,9220000
1393-12-25,3/16/2015,Monday,سکه امامی,9350000
1393-12-26,3/17/2015,Tuesday,سکه امامی,9330000
1393-12-27,3/18/2015,Wednesday,سکه امامی,9400000
1394-01-07,3/27/2015,Friday,سکه امامی,9500000
1394-01-08,3/28/2015,Saturday,سکه امامی,9340000
1394-01-09,3/29/2015,Sunday,سکه امامی,9380000
1394-01-10,3/30/2015,Monday,سکه امامی,9360000
1394-01-14,4/3/2015,Friday,سکه امامی,9410000
1394-01-15,4/4/2015,Saturday,سکه امامی,9585000
1394-01-16,4/5/2015,Sunday,سکه امامی,9600000
1394-01-17,4/6/2015,Monday,سکه امامی,9620000
1394-01-18,4/7/2015,Tuesday,سکه امامی,9550000
1394-01-19,4/8/2015,Wednesday,سکه امامی,9510000
1394-01-21,4/10/2015,Friday,سکه امامی,9720000
1394-01-22,4/11/2015,Saturday,سکه امامی,9770000
